                                                   	p1_BOG00000023      	p2_BOG00000075      	p3_BOG00000085      	p4_BOG00000095      	
Amerizus_oblongulus                                	-1                  	0.67325             	-1                  	0.57293             	
Asaphidion_curtum                                  	0.36194             	0.67325             	0.90409             	0.57293             	
Bembidion_Phyla_tethys                             	0.36194             	0.67325             	0.90409             	-1                  	
Bembidion_approximatum                             	0.36194             	-1                  	-1                  	-1                  	
Bembidion_balli                                    	0.36194             	0.67325             	0.90409             	-1                  	
Bembidion_castor                                   	0.36194             	-1                  	-1                  	-1                  	
Bembidion_chilense                                 	0.36194             	-1                  	-1                  	0.57293             	
Bembidion_complanatum                              	0.36194             	0.67325             	-1                  	0.57293             	
Bembidion_corgenoma                                	0.36194             	0.67325             	0.90409             	0.57293             	
Bembidion_delectum                                 	0.36194             	0.67325             	-1                  	0.57293             	
Bembidion_eurydice_clarum                          	-1                  	-1                  	0.90409             	-1                  	
Bembidion_festivum_hilare                          	0.36194             	0.67325             	0.90409             	0.57293             	
Bembidion_fortestriatum                            	0.36194             	-1                  	-1                  	0.57293             	
Bembidion_genei_illigeri                           	0.36194             	0.67325             	0.90409             	-1                  	
Bembidion_incrematum                               	-1                  	0.67325             	-1                  	-1                  	
Bembidion_iridescens                               	0.36194             	-1                  	0.90409             	0.57293             	
Bembidion_kirschenhoferi_annapurnae                	0.36194             	0.67325             	-1                  	-1                  	
Bembidion_lividulum                                	0.36194             	-1                  	-1                  	-1                  	
Bembidion_lugubre                                  	-1                  	-1                  	0.90409             	-1                  	
Bembidion_mckinleyi                                	0.36194             	0.67325             	0.90409             	-1                  	
Bembidion_obliquulum                               	0.36194             	-1                  	0.90409             	-1                  	
Bembidion_obtusum                                  	-1                  	-1                  	-1                  	0.57293             	
Bembidion_planatum                                 	0.36194             	-1                  	0.90409             	-1                  	
Bembidion_planum                                   	-1                  	0.67325             	0.90409             	-1                  	
Bembidion_punctulatum                              	-1                  	0.67325             	-1                  	-1                  	
Bembidion_quadrimaculatum                          	0.36194             	0.67325             	-1                  	-1                  	
Bembidion_recticolle                               	-1                  	0.67325             	0.90409             	0.57293             	
Bembidion_rugosellum                               	-1                  	0.67325             	-1                  	-1                  	
Bembidion_sp.nr._nahuala                           	-1                  	-1                  	0.90409             	-1                  	
Bembidion_teradai                                  	-1                  	-1                  	0.90409             	-1                  	
Bembidion_turbatum                                 	-1                  	-1                  	0.90409             	0.57293             	
Bembidion_variegatum                               	-1                  	-1                  	-1                  	0.57293             	
Bembidion_yehi                                     	-1                  	0.67325             	-1                  	-1                  	
Bembidion_yokohamae                                	0.36194             	-1                  	0.90409             	-1                  	
Bembidion_zephyrum                                 	0.36194             	0.67325             	0.90409             	-1                  	
Caecidium_trechomorphum                            	-1                  	-1                  	0.90409             	-1                  	
Lionepha_casta                                     	-1                  	0.67325             	-1                  	0.57293             	
Merizodus_sp._Valdivia                             	-1                  	-1                  	0.90409             	-1                  	
Patrobus_longicornis                               	-1                  	0.67325             	-1                  	0.57293             	
Phrypeus_rickseckeri                               	-1                  	0.67325             	-1                  	0.57293             	
Pogonus_chalceus                                   	-1                  	0.67325             	-1                  	0.57293             	
Pterocyrtus_rubescens                              	0.36194             	0.67325             	-1                  	-1                  	
Sinechostictus_stomoides                           	-1                  	0.67325             	-1                  	0.57293             	
Tachyura_obesulus                                  	-1                  	0.67325             	-1                  	0.57293             	
Tasmanitachoides_wilsoni                           	0.36194             	0.67325             	-1                  	0.57293             	
Trechus_obtusus                                    	-1                  	0.67325             	-1                  	0.57293             	
