                                                   	p3_BOG00000085      	p2_BOG00000075      	p4_BOG00000095      	
Bembidion_festivum_hilare                          	0.90409             	0.67325             	0.57293             	
Bembidion_corgenoma                                	0.90409             	0.67325             	0.57293             	
Asaphidion_curtum                                  	0.90409             	0.67325             	0.57293             	
Bembidion_recticolle                               	0.90409             	0.67325             	0.57293             	
Bembidion_zephyrum                                 	0.90409             	0.67325             	-1                  	
Bembidion_mckinleyi                                	0.90409             	0.67325             	-1                  	
Bembidion_genei_illigeri                           	0.90409             	0.67325             	-1                  	
Bembidion_balli                                    	0.90409             	0.67325             	-1                  	
Bembidion_Phyla_tethys                             	0.90409             	0.67325             	-1                  	
Bembidion_iridescens                               	0.90409             	-1                  	0.57293             	
Tasmanitachoides_wilsoni                           	-1                  	0.67325             	0.57293             	
Bembidion_delectum                                 	-1                  	0.67325             	0.57293             	
Bembidion_complanatum                              	-1                  	0.67325             	0.57293             	
Bembidion_planum                                   	0.90409             	0.67325             	-1                  	
Bembidion_turbatum                                 	0.90409             	-1                  	0.57293             	
Trechus_obtusus                                    	-1                  	0.67325             	0.57293             	
Tachyura_obesulus                                  	-1                  	0.67325             	0.57293             	
Sinechostictus_stomoides                           	-1                  	0.67325             	0.57293             	
Pogonus_chalceus                                   	-1                  	0.67325             	0.57293             	
Phrypeus_rickseckeri                               	-1                  	0.67325             	0.57293             	
Patrobus_longicornis                               	-1                  	0.67325             	0.57293             	
Lionepha_casta                                     	-1                  	0.67325             	0.57293             	
